category,parameterName,value,unit,status,collectionMethod,interpretation,algorithmApplicability
"Quantitativo","numRoomsTarget","media 2.133 (min 2, max 4)","contagem","Medido","Extracao de componentes abertos e densos apos iteracoes de Cellular Automata.","Resumo de 30 execucoes.","Cellular Automata nao cria salas como entidades planejadas; regioes emergem de celulas abertas."
"Quantitativo","connectivityRatio","media 99.167 (min 75, max 100)","%","Medido","Busca no grafo extraido de componentes abertos; nenhuma conexao artificial e criada.","Mostra se as cavernas emergentes ficaram conectadas sem flood-fill reparador, carving ou grafo-guia.","CA puro nao garante conectividade global. Se a metrica ficar baixa, isso e uma limitacao real do algoritmo nesta configuracao."
"Quantitativo","verticalVariance","media 1.983 (min 1.732, max 2)","metros","Medido","Desvio padrao das alturas dos componentes extraidos do volume celular.","Resumo de 30 execucoes.","Verticalidade so aparece em uma variante celular 3D/multiandar; CA 2D simples nao possui altura."
"Quantitativo","fillPercentage","media 84.485 (min 82.446, max 86.316)","%","Medido","Celulas abertas apos a regra celular divididas pelo total do volume.","Resumo de 30 execucoes.","Densidade e controlada indiretamente por chance inicial e limites de nascimento/sobrevivencia."
"Quantitativo","branchFactor","media 1.022 (min 1, max 1.333)","media","Medido","Media de conexoes entre componentes extraidos por passagens estreitas detectadas.","Resumo de 30 execucoes.","Ramificacao emerge de gargalos naturais, nao de um grafo explicito."
"Quantitativo","avgPathLength","media 9.698 (min 6, max 46.897)","metros","Medido","Distancias no grafo extraido do resultado celular.","Resumo de 30 execucoes.","Caminhos sao medidos depois da extracao; CA nao controla caminho critico diretamente."
"Quantitativo","uniqueModules","media 19.067 (min 16, max 24)","contagem","Medido","Contagem de categorias logicas e prefabs usados na leitura/instanciacao do resultado.","Resumo de 30 execucoes.","CA tende a variar forma organica, mas nao aumenta variedade modular sozinho."
"Quantitativo","navigableVolumeRatio","media 100 (min 100, max 100)","%","Estimado sem NavMesh","Estimativa logica de celulas abertas antes de NavMesh.","Resumo de 30 execucoes.","Proxy logico; ilhas desconectadas podem inflar area aberta sem criar navegabilidade util."
"Quantitativo","criticalPathLength","media 13.397 (min 6, max 87.795)","metros","Medido","Maior distancia no grafo extraido a partir do componente inicial.","Resumo de 30 execucoes.","CA puro nao direciona progressao inicio-fim sem uma camada adicional."
"Quantitativo","avgAlternativePathLength","media 0 (min 0, max 0)","metros","Medido","Media de conexoes marcadas como ciclos emergentes entre componentes.","Resumo de 30 execucoes.","Loops podem emergir, mas nao sao garantidos."
"Booleano","SupportsRandomEnemySpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Spawns usam regioes abertas extraidas; balanceamento nao e propriedade nativa do CA."
"Booleano","SupportsLootDistribution","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Loot pode ser colocado nas regioes abertas, mas progressao por risco depende de outra camada."
"Booleano","SupportsTraps","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Armadilhas podem usar celulas abertas/gargalos, mas sem semantica global nativa."
"Booleano","SupportsBacktrackingLoops","Sim em 0/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Parametro atendido somente quando as conexoes emergentes formam ciclos no grafo extraido.","CA pode formar ciclos emergentes, mas sem controle direto de loops."
"Booleano","SupportsVerticalConnectors","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com celulas abertas alinhadas entre pavimentos e convertidas em conector vertical inferido.","Parametro atendido apenas se o volume celular multiandar gerar alinhamentos abertos entre camadas.","Possivel apenas em uma leitura 3D/multiandar do CA, por alinhamento de celulas abertas entre camadas."
"Booleano","SupportsMultiFloor","Sim em 30/30 execucoes","sim/nao","Medido","Conta execucoes com mais de um pavimento e pelo menos uma conexao vertical inferida do volume celular.","Parametro atendido quando existe conexao vertical inferida do proprio volume celular.","CA 2D puro nao e multiandar; a variante 3D continua celular, mas precisa ser relatada como extensao volumetrica."
"Booleano","SupportsBossArena","Sim em 30/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Areas grandes podem emergir naturalmente, mas nao como arena semanticamente planejada."
"Booleano","SeedReproducible","Sim","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Parametro atendido.","Resultado reproduzivel se ruido inicial e iteracoes usam a mesma seed."
"Booleano","RuntimeRegeneration","Sim em 29/30 execucoes","sim/nao","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Custo cresce com tamanho do grid, pavimentos e iteracoes."
"Booleano","BudgetAwareSpawns","Sim em 30/30 execucoes","sim/nao","Suportado","Parametro medido sobre a saida do Cellular Automata puro.","Frequencia observada no lote de teste.","Orcamento e aplicado apos a geracao, sobre celulas livres extraidas."
"Qualitativo","Replayability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Diversidade topologica do lote: 100%.","Alta variacao visual/organica entre seeds e esperada."
"Qualitativo","Debuggability","media 5/5 (min 5, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Cellular Automata e reproduzivel e simples de parametrizar, mas o efeito de pequenas mudancas nas regras precisa ser observado por bateladas.","Regras sao simples, mas efeitos globais emergentes exigem analise por metricas."
"Qualitativo","Flow","media 4/5 (min 2, max 5)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Diversidade topologica do lote: 100%.","Fluxo global nao e garantido; depende de conectividade emergente."
"Qualitativo","Legibility","media 3.967/5 (min 3, max 4)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","A legibilidade depende do equilibrio entre areas abertas, gargalos e ilhas desconectadas.","Cavernas organicas podem ser bonitas, mas menos legiveis que salas retangulares."
"Qualitativo","StructuralVariety","media 2/5 (min 2, max 2)","Likert 1-5","Estimado automaticamente","Parametro medido sobre a saida do Cellular Automata puro.","Diversidade topologica do lote: 100%.","Boa variedade morfologica; menor controle sobre semantica estrutural."
"Performance","layoutGenerationMilliseconds","media 32.646 (min 27.885, max 88.289)","ms","Medido","Tempo para inicializar ruido, executar iteracoes celulares e extrair componentes.","Resumo de 30 execucoes.","Inclui ruido inicial, iteracoes celulares e extracao de componentes."
"Performance","geometryInstantiationMilliseconds","media 97.243 (min 86.109, max 189.353)","ms","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Resumo de 30 execucoes.","Custo visual depende dos prefabs/Unity, nao do CA puro."
"Performance","metricsCalculationMilliseconds","media 3.751 (min 3.164, max 12.796)","ms","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Resumo de 30 execucoes.","Custo da instrumentacao, nao do algoritmo."
"Performance","totalGenerationMilliseconds","media 133.643 (min 117.827, max 281.001)","ms","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Resumo de 30 execucoes.","Inclui layout, instanciacao visual e metricas; compare junto do tempo logico."
"Performance","generatedGameObjectCount","media 8117.067 (min 8052, max 8209)","contagem","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Resumo de 30 execucoes.","Reflete peso da montagem visual das celulas abertas."
"Performance","occupiedCellCount","media 6921 (min 6754, max 7071)","contagem","Medido","Parametro medido sobre a saida do Cellular Automata puro.","Resumo de 30 execucoes.","Proxy do volume aberto gerado pelo CA."
"Performance","connectionCount","media 1.1 (min 1, max 2)","contagem","Medido","Quantidade de conexoes inferidas por gargalos/passagens ou sobreposicoes verticais.","Resumo de 30 execucoes.","Conexoes sao inferidas apos a geracao; nao sao primitivas nativas do CA."
"Performance","managedMemoryDeltaKB","media -345.467 (min -199868, max 22004)","KB","Estimado","Parametro medido sobre a saida do Cellular Automata puro.","Resumo de 30 execucoes.","Estimativa sujeita ao GC da Unity; use como indicio comparativo."
